Date,Boxen,entry time Boxen,start Boxen,Drink Plenty Water,entry time Drink Plenty Water,start Drink Plenty Water,Eating Healthy,entry time Eating Healthy,start Eating Healthy,Sleeping Early,entry time Sleeping Early,start Sleeping Early,Meditation,entry time Meditation,start Meditation
2022-07-01 00:00:00,True,10:46:44,True,True,10:46:44,True,True,09:43:44,True,True,12:27:12,True,True,20:12:12,True
2022-07-02 00:00:00,False, ,False,True,10:46:44,False,False, ,False,False,12:27:12,False,False, ,False
2022-07-03 00:00:00,False, ,False,True,10:46:44,False,False, ,False,False,12:27:12,False,False,20:12:12,False
2022-07-04 00:00:00,True,11:43:44,False,False, ,False,False, ,False,False,12:27:12,False,False, ,False
2022-07-05 00:00:00,False, ,False,True,11:43:44,False,False, ,False,False,12:27:12,False,True,20:12:12,False
2022-07-06 00:00:00,False, ,False,True,11:43:44,False,False, ,False,False,12:27:12,False,False, ,False
2022-07-07 00:00:00,True,09:43:44,False,False,13:12:44,False,False, ,False,False, ,False,False,20:12:12,False
2022-07-08 00:00:00,False, ,False,True,13:12:44,False,True,23:43:44,False,True,12:27:12,False,False, ,False
2022-07-09 00:00:00,False, ,False,False,13:12:44,False,False, ,False,False, ,False,True,20:12:12,False
2022-07-10 00:00:00,True,12:43:44,False,False,19:12:31,False,False, ,False,False, ,False,False, ,False
2022-07-11 00:00:00,False, ,False,True,11:12:31,False,False, ,False,False,18:27:12,False,True,01:12:31,False
2022-07-12 00:00:00,False, ,False,False, ,False,False, ,False,False,18:27:12,False,False, ,False
2022-07-13 00:00:00,False, ,,False, ,False,False, ,False,False, ,False,True,20:12:12,False
2022-07-14 00:00:00,False, ,False,True,11:12:31,False,False, ,False,False,18:27:12,False,False, ,False
2022-07-15 00:00:00,False, ,False,False,11:12:31,False,True,23:43:44,False,False, ,False,True,20:12:12,False
2022-07-16 00:00:00,True,12:43:44,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-07-17 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,True,20:12:12,False
2022-07-18 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-07-19 00:00:00,True,09:12:44,False,False, ,False,False, ,False,False, ,False,True,20:12:12,False
2022-07-20 00:00:00,False, ,False,True,11:12:31,False,False, ,False,False,18:27:12,False,False, ,False
2022-07-21 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,True,20:12:12,False
2022-07-22 00:00:00,True,09:11:42,False,False,12:43:44,False,False,23:58:44,False,False, ,False,False, ,False
2022-07-23 00:00:00,False, ,False,False, ,False,False, ,False,False,22:22:22,False,False,20:12:12,False
2022-07-24 00:00:00,False, ,False,False,11:12:31,False,False, ,False,False, ,False,False, ,False
2022-07-25 00:00:00,True,12:43:44,False,False, ,False,False, ,False,False, ,False,False,20:12:12,False
2022-07-26 00:00:00,False, ,False,True,11:12:31,False,False, ,False,False,18:27:12,False,False, ,False
2022-07-27 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,True,20:12:12,False
2022-07-28 00:00:00,True,12:43:44,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-07-29 00:00:00,False, ,False,False, ,False,True, ,False,False, ,False,True,20:12:12,False
2022-07-30 00:00:00,False, ,False,True,12:43:44,False,False, ,False,False, ,False,False, ,False
2022-07-31 00:00:00,True,12:43:44,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-01 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-02 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-03 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-04 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-05 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-06 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-07 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-08 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-09 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-10 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-11 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-12 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-13 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-14 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-15 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-16 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
2022-08-17 00:00:00,False, ,False,False, ,False,False, ,False,False, ,False,False, ,False
